b'id',b'lat',b'lon',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'261114295',b'41.9730791',b'-87.6866303',b'bbmiller',b'451048',b'7',b'11129782',b'2012-03-28T18:31:23Z'
b'261114296',b'41.9730416',b'-87.6878512',b'bbmiller',b'451048',b'6',b'8448766',b'2011-06-15T17:04:54Z'
b'261114299',b'41.9729565',b'-87.6939548',b'bbmiller',b'451048',b'5',b'8581395',b'2011-06-29T14:14:14Z'
b'261146436',b'41.9707380',b'-87.6976025',b'bbmiller',b'451048',b'5',b'8581395',b'2011-06-29T14:14:14Z'
b'261147304',b'41.9740068',b'-87.6988576',b'bbmiller',b'451048',b'7',b'8581395',b'2011-06-29T14:14:15Z'
b'261224274',b'41.9707656',b'-87.6938669',b'bbmiller',b'451048',b'5',b'8581395',b'2011-06-29T14:14:14Z'
b'293816175',b'41.9730154',b'-87.6890403',b'bbmiller',b'451048',b'47',b'8448766',b'2011-06-15T16:55:37Z'
b'305896090',b'41.9749225',b'-87.6891198',b'Umbugbene',b'567034',b'37',b'15348240',b'2013-03-13T07:46:29Z'
b'317636974',b'41.9740292',b'-87.7012430',b'Umbugbene',b'567034',b'12',b'15348240',b'2013-03-13T08:02:56Z'
b'317636971',b'41.9740556',b'-87.6979712',b'Umbugbene',b'567034',b'13',b'15348240',b'2013-03-13T08:08:01Z'
b'317637399',b'41.9705609',b'-87.7012048',b'Umbugbene',b'567034',b'2',b'14927972',b'2013-02-05T22:43:49Z'
b'317637398',b'41.9706972',b'-87.7012109',b'Umbugbene',b'567034',b'2',b'14927972',b'2013-02-05T22:43:49Z'
b'365214872',b'41.9731130',b'-87.6847998',b'bbmiller',b'451048',b'3',b'8448766',b'2011-06-15T17:04:54Z'
b'261299091',b'41.9747482',b'-87.6988886',b'bbmiller',b'451048',b'6',b'8581395',b'2011-06-29T14:14:15Z'
b'261114294',b'41.9731219',b'-87.6841979',b'bbmiller',b'451048',b'6',b'8448766',b'2011-06-15T17:04:54Z'
b'261210804',b'41.9707217',b'-87.7000019',b'woodpeck_fixbot',b'147510',b'4',b'3359748',b'2009-12-13T00:36:09Z'
b'261221422',b'41.9748542',b'-87.6922652',b'bbmiller',b'451048',b'7',b'8581395',b'2011-06-29T14:14:15Z'
b'261221424',b'41.9758794',b'-87.6923639',b'bbmiller',b'451048',b'7',b'8581395',b'2011-06-29T14:14:15Z'
b'2406124091',b'41.9757030',b'-87.6921867',b'linuxUser16',b'1219059',b'2',b'17206049',b'2013-08-03T16:43:42Z'
b'2636084635',b'41.9705219',b'-87.6900344',b'linuxUser16',b'1219059',b'1',b'20187349',b'2014-01-25T01:56:10Z'
b'261198953',b'41.9707413',b'-87.6963097',b'bbmiller',b'451048',b'6',b'8581395',b'2011-06-29T14:14:13Z'
b'757860928',b'41.9747374',b'-87.6920102',b'uboot',b'26299',b'2',b'5288876',b'2010-07-22T16:16:51Z'
b'1683602133',b'42.1251718',b'-88.0780576',b'Jacobs Studios',b'634589',b'2',b'11043902',b'2012-03-20T18:56:44Z'
