b'id',b'key',b'value',b'type'
b'261221424',b'highway',b'traffic_signals',b'regular'
b'2406124091',b'city',b'Chicago',b'addr'
b'2406124091',b'housenumber',b'5157',b'addr'
b'2406124091',b'postcode',b'60625',b'addr'
b'2406124091',b'street',b'North Lincoln Ave',b'addr'
b'2406124091',b'amenity',b'restaurant',b'regular'
b'2406124091',b'cuisine',b'mexican',b'regular'
b'2406124091',b'name',b'La Cabana De Don Luis',b'regular'
b'2406124091',b'outdoor_seating',b'no',b'regular'
b'2406124091',b'phone',b'1 (773)-271-5176',b'regular'
b'2406124091',b'smoking',b'no',b'regular'
b'2406124091',b'takeaway',b'yes',b'regular'
b'2636084635',b'city',b'Chicago',b'addr'
b'2636084635',b'country',b'US',b'addr'
b'2636084635',b'housenumber',b'4874',b'addr'
b'2636084635',b'postcode',b'60625',b'addr'
b'2636084635',b'state',b'Illinois',b'addr'
b'2636084635',b'street',b'N. Lincoln Ave',b'addr'
b'2636084635',b'name',b'Matty Ks',b'regular'
b'2636084635',b'phone',b'(773)-654-1347',b'regular'
b'2636084635',b'shop',b'doityourself',b'regular'
b'2636084635',b'source',b'GPS',b'regular'
b'757860928',b'amenity',b'fast_food',b'regular'
b'757860928',b'cuisine',b'sausage',b'regular'
b'757860928',b'name',"b""Shelly's Tasty Freeze""",b'regular'
b'1683602133',b'housename',b'Village Hall',b'addr'
b'1683602133',b'housenumber',b'1400',b'addr'
b'1683602133',b'postcode',b'60067',b'addr'
b'1683602133',b'street',b'Baldwin Rd.',b'addr'
b'1683602133',b'amenity',b'townhall',b'regular'
b'1683602133',b'name',b'Village Hall',b'regular'
