game_id	attendance	team1	team2	goals	tie	pk	stage	round	year	date	time	stadium	home	lat	long	referee	booked	url
1	25000	Italy	USA	7-1	False	False	FIRST ROUND	False	1934	27-05-1934 (16:00 h)	16:00 	Stadio Nazionale del PNF (Roma)	Italy	41.926953	12.472197	Ren̩ Mercet (SWI)		1934_ITALY_FS.htm
2	16000	Austria	France	3-2	False	False	FIRST ROUND	False	1934	27-05-1934 (16:30 h)	16:30 	Benito Mussolini (Torino)	Italy	45.066251	7.691228	John van Moorsel (NED)		1934_ITALY_FS.htm
3	8000	Germany	Belgium	5-2	False	False	FIRST ROUND	False	1934	27-05-1934 (16:30 h)	16:30 	Giovanni Berta (Firenze)	Italy	44.275234	11.722625	Francesco Mattea (ITA)		1934_ITALY_FS.htm
4	9000	Czechoslovakia	Romania	2-1	False	False	FIRST ROUND	False	1934	27-05-1934 (16:30 h)	16:30 	Stadio del Littorio (Trieste)	Italy	45.62243	13.792906	Jean Langenus (BEL)		1934_ITALY_FS.htm
5	33000	Switzerland	Netherlands	3-2	False	False	FIRST ROUND	False	1934	27-05-1934 (16:30 h)	16:30 	San Siro (Milano)	Italy	45.478124	9.123962	Ivan Eklind (SWE)		1934_ITALY_FS.htm
6	14000	Sweden	Argentina	3-2	False	False	FIRST ROUND	False	1934	27-05-1934 (16:30 h)	16:30 	Stadio Littoriale (Bologna)	Italy	44.494887	11.3426163	Erwin Braun (AUT)		1934_ITALY_FS.htm
7	21000	Spain	Brazil	3-1	False	False	FIRST ROUND	False	1934	27-05-1934 (16:30 h)	16:30 	Luigi Ferraris (Genova)	Italy	44.416409	8.952495	Alfred Birlem (GER)		1934_ITALY_FS.htm
8	9000	Hungary	Egypt	4-2	False	False	FIRST ROUND	False	1934	27-05-1934 (16:30 h)	16:30 	Giorgio Ascarelli (Napoli)	Italy	40.631067	14.408606	Rinaldo Barlassina (ITA)		1934_ITALY_FS.htm
9	23000	Austria	Hungary	2-1	False	False	1/4 FINAL	False	1934	31-05-1934 (16:30 h)	16:30 	Stadio Littoriale (Bologna)	Italy	44.494887	11.3426163	Francesco Mattea (ITA)		1934_ITALY_FS.htm
10	12000	Czechoslovakia	Switzerland	3-2	False	False	1/4 FINAL	False	1934	31-05-1934 (16:30 h)	16:30 	Benito Mussolini (Torino)	Italy	45.066251	7.691228	Alois Beranek (AUT)		1934_ITALY_FS.htm
