b'id',b'lat',b'lon',b'ele',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'18907682',b'41.4964721',b'-81.7270134',,b'skorasaurus',b'205523',b'3',b'10156256',b'2011-12-19T14:53:25Z'
b'18916804',b'41.7352316',b'-81.2722542',,b'OSMF Redaction Account',b'722137',b'6',b'12295398',b'2012-07-18T19:42:46Z'
b'18921579',b'41.7203552',b'-81.3645632',,b'OSMF Redaction Account',b'722137',b'4',b'12295446',b'2012-07-18T19:43:56Z'
b'18921769',b'41.6978107',b'-81.4030442',,b'OSMF Redaction Account',b'722137',b'4',b'12295510',b'2012-07-18T19:45:13Z'
b'18922045',b'41.6757416',b'-81.4389231',,b'OSMF Redaction Account',b'722137',b'5',b'12295551',b'2012-07-18T19:46:18Z'
b'18922279',b'41.6407933',b'-81.4762177',,b'OSMF Redaction Account',b'722137',b'4',b'12295551',b'2012-07-18T19:46:13Z'
b'18928727',b'41.5508146',b'-81.6164726',,b'mjulius',b'7412',b'2',b'2261180',b'2009-08-25T21:05:54Z'
b'18934479',b'41.5350826',b'-81.6461379',,b'mjulius',b'7412',b'2',b'2237911',b'2009-08-24T00:34:24Z'
b'18938736',b'41.500644',b'-81.7122657',,b'OSMF Redaction Account',b'722137',b'5',b'12296017',b'2012-07-18T19:57:03Z'
b'30435638',b'41.3564309',b'-81.8752085',,b'jwolter',b'2834',b'1',b'98191',b'2007-06-16T20:21:33Z'
b'30556005',b'41.3683099',b'-81.8652264',,b'mjulius',b'7412',b'1',b'146757',b'2007-07-16T12:02:29Z'
b'31263296',b'41.4029683',b'-81.9239861',,b'moonwashed',b'7050',b'3',b'819622',b'2009-01-21T09:31:12Z'
b'31263971',b'41.4211734',b'-81.6869345',,b'wlgann',b'2851892',b'2',b'37525330',b'2016-02-29T16:38:31Z'
b'31313626',b'41.424619',b'-81.5783647',,b'wlgann',b'2851892',b'19',b'37556396',b'2016-03-01T22:17:49Z'
b'31313745',b'41.4201856',b'-81.8312034',,b'wlgann',b'2851892',b'19',b'37465282',b'2016-02-26T17:03:11Z'
b'31429517',b'41.3922929',b'-81.8685311',,b'jwolter',b'2834',b'2',b'555882',b'2008-01-06T22:07:15Z'
b'31962318',b'41.3533706',b'-81.8759809',,b'jwolter',b'2834',b'1',b'147037',b'2007-07-16T02:40:31Z'
b'32126664',b'41.3029633',b'-81.7111024',,b'Andy Allan',b'4115',b'4',b'1221124',b'2009-05-17T12:57:45Z'
b'33085321',b'41.0575289',b'-81.8578425',,b'Mike_Sherman',b'13935',b'15',b'1702179',b'2009-07-01T17:53:00Z'
b'33615644',b'41.381432',b'-81.8523922',,b'BranchLine',b'1718513',b'3',b'37487104',b'2016-02-27T18:52:10Z'
b'33719506',b'41.4386119',b'-81.7982441',,b'jwolter',b'2834',b'1',b'45028',b'2007-10-06T14:28:40Z'
b'33719709',b'41.448564',b'-81.7536761',,b'wlgann',b'2851892',b'15',b'37313153',b'2016-02-19T17:25:04Z'
b'34007186',b'40.8344343',b'-81.9263893',,b'Minh Nguyen',b'33757',b'4',b'840684',b'2009-01-26T12:45:14Z'
b'34508682',b'41.3757429',b'-81.8780924',,b'jwolter',b'2834',b'1',b'217728',b'2007-08-15T11:39:44Z'
b'34645979',b'41.3826188',b'-81.8858667',,b'Tom Layo',b'280679',b'2',b'13156175',b'2012-09-18T13:26:07Z'
b'59945628',b'41.516781',b'-81.6753433',,b'wlgann',b'2851892',b'12',b'34472178',b'2015-10-06T16:06:12Z'
b'59945868',b'41.5514815',b'-81.6027861',,b'smlyons77',b'953610',b'9',b'16398032',b'2013-06-02T21:17:06Z'
b'59946018',b'41.5768196',b'-81.5517048',,b'smlyons77',b'953610',b'10',b'16398032',b'2013-06-02T21:41:02Z'
b'59946118',b'41.596294',b'-81.5112143',,b'NE2',b'207745',b'10',b'13017229',b'2012-09-06T23:40:35Z'
b'60281081',b'41.3657011',b'-81.8914734',,b'jwolter',b'2834',b'1',b'13626',b'2007-10-01T01:15:09Z'
b'60849582',b'41.4128844',b'-81.8177243',,b'NE2',b'207745',b'14',b'12802615',b'2012-08-20T23:39:51Z'
b'61970691',b'41.5908153',b'-81.4497681',,b'moonwashed',b'7050',b'9',b'736861',b'2008-11-12T05:45:40Z'
b'63450501',b'41.7324559',b'-81.107853',,b'moonwashed',b'7050',b'11',b'736861',b'2008-11-12T05:45:43Z'
