b'id',b'user',b'uid',b'version',b'changeset',b'timestamp'
b'4902511',b'Bored',b'85673',b'4',b'22457346',b'2014-05-21T02:57:20Z'
b'8678657',b'maxerickson',b'360392',b'8',b'35797533',b'2015-12-07T00:41:17Z'
b'11786035',b'skorasaurus',b'205523',b'2',b'9207934',b'2011-09-04T11:36:24Z'
b'11786244',b'wlgann',b'2851892',b'17',b'37254627',b'2016-02-16T20:38:24Z'
b'11786492',b'DaveHansenTiger',b'7168',b'1',b'457598',b'2007-11-10T12:00:13Z'
b'11786758',b'DaveHansenTiger',b'7168',b'1',b'457598',b'2007-11-10T12:02:46Z'
b'11786952',b'wlgann',b'2851892',b'9',b'34658113',b'2015-10-15T16:15:12Z'
b'11787206',b'DaveHansenTiger',b'7168',b'1',b'457598',b'2007-11-10T12:06:23Z'
b'11787422',b'bot-mode',b'451693',b'2',b'15792154',b'2013-04-20T02:13:28Z'
b'11787538',b'bot-mode',b'451693',b'2',b'15792154',b'2013-04-20T02:13:47Z'
b'11787716',b'bot-mode',b'451693',b'2',b'15792154',b'2013-04-20T02:14:10Z'
b'11787866',b'bot-mode',b'451693',b'2',b'15792154',b'2013-04-20T02:14:24Z'
b'11788004',b'bot-mode',b'451693',b'2',b'15792154',b'2013-04-20T02:14:45Z'
b'11788182',b'bot-mode',b'451693',b'7',b'15792154',b'2013-04-20T02:15:06Z'
b'11788383',b'bot-mode',b'451693',b'2',b'15792154',b'2013-04-20T02:15:25Z'
b'11788540',b'bot-mode',b'451693',b'2',b'15792154',b'2013-04-20T02:15:48Z'
b'11788701',b'bot-mode',b'451693',b'2',b'15792154',b'2013-04-20T02:16:10Z'
b'11788923',b'bot-mode',b'451693',b'2',b'15792154',b'2013-04-20T02:16:26Z'
b'11789082',b'bot-mode',b'451693',b'2',b'15792154',b'2013-04-20T02:16:47Z'
b'11789248',b'bot-mode',b'451693',b'2',b'15792154',b'2013-04-20T02:17:04Z'
b'11789419',b'Minh Nguyen',b'33757',b'9',b'20009591',b'2014-01-15T09:15:44Z'
b'11789583',b'bot-mode',b'451693',b'2',b'15792154',b'2013-04-20T02:17:47Z'
b'11789727',b'bot-mode',b'451693',b'5',b'15792154',b'2013-04-20T02:18:07Z'
b'11789872',b'skorasaurus',b'205523',b'2',b'13334462',b'2012-10-02T12:46:14Z'
b'11790028',b'bot-mode',b'451693',b'2',b'15792154',b'2013-04-20T02:18:45Z'
