b'id',b'key',b'value',b'type'
b'4902511',b'name',b'Surrey Circle',b'regular'
b'4902511',b'highway',b'residential',b'regular'
b'4902511',b'maxspeed',b'25 mph',b'regular'
b'4902511',b'cfcc',b'A41',b'tiger'
b'4902511',b'county',"b'Cuyahoga, OH'",b'tiger'
b'4902511',b'reviewed',b'no',b'tiger'
b'4902511',b'zip_left',b'44017',b'tiger'
b'4902511',b'name_base',b'Surrey',b'tiger'
b'4902511',b'name_type',b'Cir',b'tiger'
b'4902511',b'zip_right',b'44017',b'tiger'
b'8678657',b'name',b'River Grove Reserved Picnic Area',b'regular'
b'8678657',b'highway',b'service',b'regular'
b'8678657',b'service',b'driveway',b'regular'
b'11786035',b'access',b'private',b'regular'
b'11786035',b'highway',b'service',b'regular'
b'11786035',b'service',b'driveway',b'regular'
b'11786035',b'cfcc',b'A74',b'tiger'
b'11786035',b'tlid',b'61118361:61118348',b'tiger'
b'11786035',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11786035',b'source',b'tiger_import_dch_v0.6_20070829',b'tiger'
b'11786035',b'upload_uuid',b'bulk_upload.pl-7aa11703-00aa-4ec2-a03e-74d2f1d64f77',b'tiger'
b'11786244',b'hgv',b'designated',b'regular'
b'11786244',b'ref',b'I 77',b'regular'
b'11786244',b'foot',b'no',b'regular'
b'11786244',b'name',b'Willow Freeway',b'regular'
b'11786244',b'horse',b'no',b'regular'
b'11786244',b'lanes',b'2',b'regular'
b'11786244',b'oneway',b'yes',b'regular'
b'11786244',b'bicycle',b'no',b'regular'
b'11786244',b'highway',b'motorway',b'regular'
b'11786244',b'maxspeed',b'50 mph',b'regular'
b'11786244',b'sidewalk',b'none',b'regular'
b'11786244',b'cfcc',b'A63',b'tiger'
b'11786244',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11786492',b'highway',b'residential',b'regular'
b'11786492',b'cfcc',b'A41',b'tiger'
b'11786492',b'tlid',b'61178264:61179617:61150656',b'tiger'
b'11786492',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11786492',b'source',b'tiger_import_dch_v0.6_20070829',b'tiger'
b'11786492',b'reviewed',b'no',b'tiger'
b'11786492',b'separated',b'no',b'tiger'
b'11786492',b'upload_uuid',b'bulk_upload.pl-7aa11703-00aa-4ec2-a03e-74d2f1d64f77',b'tiger'
b'11786758',b'highway',b'residential',b'regular'
b'11786758',b'cfcc',b'A41',b'tiger'
b'11786758',b'tlid',b'61157253',b'tiger'
b'11786758',b'county',"b'Cuyahoga, OH'",b'tiger'
b'11786758',b'source',b'tiger_import_dch_v0.6_20070829',b'tiger'
b'11786758',b'reviewed',b'no',b'tiger'
b'11786758',b'separated',b'no',b'tiger'
